,time,speed,OpenACC_recorded_speed,gearbox,fuel_rate,fuel_density
0,1.1,0.0,0.0,0.0,-0.0,0.73
1,1.2,0.0,0.0,0.0,-0.0,0.73
2,1.3,0.0,0.0,0.0,-0.0,0.73
3,1.4,0.0,0.0,0.0,-0.0,0.73
4,1.5,0.0,0.0,0.0,-0.0,0.73
5,1.6,0.0,0.0,0.0,-0.0,0.73
6,1.7,0.0,0.0,0.0,-0.0,0.73
7,1.8,0.0,0.0,0.0,-0.0,0.73
8,1.9,0.0,0.0,0.0,-0.0,0.73
9,2.0,0.0,0.0,0.0,-0.0,0.73
10,2.1,0.0,0.0,0.0,-0.0,0.73
11,2.2,0.0,0.0,0.0,-0.0,0.73
12,2.3,0.0,0.0,0.0,-0.0,0.73
13,2.4,0.0,0.0,0.0,-0.0,0.73
14,2.5,0.0,0.0,0.0,-0.0,0.73
15,2.6,0.0,0.0,0.0,-0.0,0.73
16,2.7,0.0,0.0,0.0,-0.0,0.73
17,2.8,0.0,0.0,0.0,-0.0,0.73
18,2.9,0.0,0.0,0.0,-0.0,0.73
19,3.0,0.0,0.0,0.0,-0.0,0.73
20,3.1,0.0,0.0,0.0,-0.0,0.73
21,3.2,0.0,0.0,0.0,0.03,0.73
22,3.3,0.0,0.0,0.0,0.38,0.73
23,3.4,0.0,0.0,0.0,0.62,0.73
24,3.5,0.0,0.0,0.0,0.62,0.73
25,3.6,0.0,0.0,0.0,0.62,0.73
26,3.7,0.0,0.0,0.0,0.62,0.73
27,3.8,0.0,0.0,0.0,0.62,0.73
28,3.9,0.0,0.0,0.0,0.62,0.73
29,4.0,0.0,0.0,0.0,0.62,0.73
30,4.1,0.0,0.0,0.0,0.62,0.73
31,4.2,0.0,0.0,0.0,0.6,0.73
32,4.3,0.0,0.0,0.0,0.35,0.73
33,4.4,0.0,0.0,0.0,0.18,0.73
34,4.5,0.0,0.0,0.0,0.18,0.73
35,4.6,0.0,0.0,0.0,0.18,0.73
36,4.7,0.0,0.0,0.0,0.18,0.73
37,4.8,0.0,0.0,0.0,0.18,0.73
38,4.9,0.0,0.0,0.0,0.18,0.73
39,5.0,0.0,0.0,0.0,0.18,0.73
40,5.1,0.0,0.0,0.0,0.18,0.73
41,5.2,0.0,0.0,0.0,0.17,0.73
42,5.3,0.0,0.0,0.0,0.09,0.73
43,5.4,0.0,0.0,0.0,0.03,0.73
44,5.5,0.0,0.0,0.0,0.03,0.73
45,5.6,0.0,0.0,0.0,0.03,0.73
46,5.7,0.0,0.0,0.0,0.03,0.73
47,5.8,0.0,0.0,0.0,0.03,0.73
48,5.9,0.0,0.0,0.0,0.03,0.73
49,6.0,0.0,0.0,0.0,0.03,0.73
50,6.1,0.0,0.0,0.0,0.03,0.73
51,6.2,0.0,0.0,0.0,0.03,0.73
52,6.3,0.0,0.0,0.0,0.01,0.73
53,6.4,0.0,0.0,0.0,0.0,0.73
54,6.5,0.0,0.0,0.0,0.0,0.73
55,6.6,0.0,0.0,0.0,0.0,0.73
56,6.7,0.0,0.0,0.0,0.0,0.73
57,6.8,0.0,0.0,0.0,0.0,0.73
58,6.9,0.0,0.0,0.0,0.0,0.73
59,7.0,0.0,0.0,0.0,0.0,0.73
60,7.1,0.0,0.0,0.0,0.0,0.73
61,7.2,0.0,0.0,0.0,0.0,0.73
62,7.3,0.0,0.0,0.0,0.0,0.73
63,7.4,0.0,0.0,0.0,0.0,0.73
64,7.5,0.0,0.0,0.0,0.0,0.73
65,7.6,0.0,0.0,0.0,0.0,0.73
66,7.7,0.0,0.0,0.0,0.0,0.73
67,7.8,0.0,0.0,0.0,0.0,0.73
68,7.9,0.0,0.0,0.0,0.0,0.73
69,8.0,0.0,0.0,0.0,0.0,0.73
70,8.1,0.0,0.0,0.0,0.0,0.73
71,8.2,0.0,0.0,0.0,0.01,0.73
72,8.3,0.0,0.0,0.0,0.09,0.73
73,8.4,0.0,0.0,0.0,0.15,0.73
74,8.5,0.0,0.0,0.0,0.15,0.73
75,8.6,0.0,0.0,0.0,0.15,0.73
76,8.7,0.0,0.0,0.0,0.15,0.73
77,8.8,0.0,0.0,0.0,0.15,0.73
78,8.9,0.0,0.0,0.0,0.15,0.73
79,9.0,0.0,0.0,0.0,0.15,0.73
80,9.1,0.0,0.0,0.0,0.15,0.73
81,9.2,0.0,0.0,0.0,0.17,0.73
82,9.3,0.0,0.0,0.0,0.42,0.73
83,9.4,0.0,0.0,0.0,0.59,0.73
84,9.5,0.0,0.0,0.0,0.59,0.73
85,9.6,0.0,0.0,0.0,0.59,0.73
86,9.7,0.0,0.0,0.0,0.59,0.73
87,9.8,0.0,0.0,0.0,0.59,0.73
88,9.9,0.0,0.0,0.0,0.59,0.73
89,10.0,0.0,0.0,0.0,0.59,0.73
90,10.1,0.0,0.0,0.0,0.59,0.73
91,10.2,0.0,0.0,0.0,0.57,0.73
92,10.3,0.0,0.0,0.0,0.33,0.73
93,10.4,0.0,0.0,0.0,0.17,0.73
94,10.5,0.0,0.0,0.0,0.17,0.73
95,10.6,0.0,0.0,0.0,0.17,0.73
96,10.7,0.0,0.0,0.0,0.17,0.73
97,10.8,0.0,0.0,0.0,0.17,0.73
98,10.9,0.0,0.0,0.0,0.17,0.73
99,11.0,0.0,0.0,0.0,0.17,0.73
100,11.1,0.0,0.0,0.0,0.17,0.73
101,11.2,0.0,0.0,0.0,0.16,0.73
102,11.3,0.0,0.0,0.0,0.09,0.73
103,11.4,0.0,0.0,0.0,0.04,0.73
104,11.5,0.0,0.0,0.0,0.04,0.73
105,11.6,0.0,0.0,0.0,0.04,0.73
106,11.7,0.0,0.0,0.0,0.04,0.73
107,11.8,0.0,0.0,0.0,0.04,0.73
108,11.9,0.0,0.0,0.0,0.04,0.73
109,12.0,0.0,0.0,0.0,0.04,0.73
110,12.1,0.0,0.0,0.0,0.04,0.73
111,12.2,0.0,0.0,0.0,0.04,0.73
112,12.3,0.0,0.0,0.0,0.01,0.73
113,12.4,0.0,0.0,0.0,-0.0,0.73
114,12.5,0.0,0.0,0.0,-0.0,0.73
115,12.6,0.0,0.0,0.0,-0.0,0.73
116,12.7,0.0,0.0,0.0,-0.0,0.73
117,12.8,0.0,0.0,0.0,-0.0,0.73
118,12.9,0.0,0.0,0.0,-0.0,0.73
119,13.0,0.0,0.0,0.0,-0.0,0.73
120,13.1,0.0,0.0,0.0,-0.0,0.73
121,13.2,0.0,0.0,0.0,-0.0,0.73
122,13.3,0.0,0.0,0.0,0.0,0.73
123,13.4,0.0,0.0,0.0,0.01,0.73
124,13.5,0.0,0.0,0.0,0.01,0.73
125,13.6,0.0,0.0,0.0,0.01,0.73
126,13.7,0.0,0.0,0.0,0.01,0.73
127,13.8,0.0,0.0,0.0,0.01,0.73
128,13.9,0.0,0.0,0.0,0.01,0.73
129,14.0,0.0,0.0,0.0,0.01,0.73
130,14.1,0.0,0.0,0.0,0.01,0.73
131,14.2,0.0,0.0,0.0,0.01,0.73
132,14.3,0.0,0.0,0.0,0.08,0.73
133,14.4,0.0,0.0,0.0,0.13,0.73
134,14.5,0.0,0.0,0.0,0.13,0.73
135,14.6,0.0,0.0,0.0,0.13,0.73
136,14.7,0.0,0.0,0.0,0.13,0.73
137,14.8,0.0,0.0,0.0,0.13,0.73
138,14.9,0.0,0.0,0.0,0.13,0.73
139,15.0,0.0,0.0,0.0,0.13,0.73
140,15.1,0.0,0.0,0.0,0.13,0.73
141,15.2,0.0,0.0,0.0,0.15,0.73
142,15.3,0.0,0.0,0.0,0.4,0.73
143,15.4,0.0,0.0,0.0,0.56,0.73
144,15.5,0.0,0.0,0.0,0.56,0.73
145,15.6,0.0,0.0,0.0,0.56,0.73
146,15.7,0.0,0.0,0.0,0.56,0.73
147,15.8,0.0,0.0,0.0,0.56,0.73
148,15.9,0.0,0.0,0.0,0.56,0.73
149,16.0,0.0,0.0,0.0,0.56,0.73
150,16.1,0.0,0.0,0.0,0.56,0.73
151,16.2,0.0,0.0,0.0,0.54,0.73
152,16.3,0.0,0.0,0.0,0.34,0.73
153,16.4,0.0,0.0,0.0,0.2,0.73
154,16.5,0.0,0.0,0.0,0.2,0.73
155,16.6,0.0,0.0,0.0,0.2,0.73
156,16.7,0.0,0.0,0.0,0.2,0.73
157,16.8,0.0,0.0,0.0,0.2,0.73
158,16.9,0.0,0.0,0.0,0.2,0.73
159,17.0,0.0,0.0,0.0,0.2,0.73
160,17.1,0.0,0.0,0.0,0.2,0.73
161,17.2,0.0,0.0,0.0,0.19,0.73
162,17.3,0.0,0.0,0.0,0.12,0.73
163,17.4,0.0,0.0,0.0,0.06,0.73
164,17.5,0.0,0.0,0.0,0.06,0.73
165,17.6,0.0,0.0,0.0,0.06,0.73
166,17.7,0.0,0.0,0.0,0.06,0.73
167,17.8,0.0,0.0,0.0,0.06,0.73
168,17.9,0.0,0.0,0.0,0.06,0.73
169,18.0,0.0,0.0,0.0,0.06,0.73
170,18.1,0.0,0.0,0.0,0.06,0.73
171,18.2,0.0,0.0,0.0,0.06,0.73
172,18.3,0.0,0.0,0.0,0.02,0.73
173,18.4,0.0,0.0,0.0,-0.0,0.73
174,18.5,0.0,0.0,0.0,-0.0,0.73
175,18.6,0.0,0.0,0.0,-0.0,0.73
176,18.7,0.0,0.0,0.0,-0.0,0.73
177,18.8,0.0,0.0,0.0,-0.0,0.73
178,18.9,0.0,0.0,0.0,-0.0,0.73
179,19.0,0.0,0.0,0.0,-0.0,0.73
180,19.1,0.0,0.0,0.0,-0.0,0.73
181,19.2,0.0,0.0,0.0,-0.0,0.73
182,19.3,0.0,0.0,0.0,-0.0,0.73
183,19.4,0.0,0.0,0.0,-0.0,0.73
184,19.5,0.0,0.0,0.0,-0.0,0.73
185,19.6,0.0,0.0,0.0,-0.0,0.73
186,19.7,0.0,0.0,0.0,-0.0,0.73
187,19.8,0.0,0.0,0.0,-0.0,0.73
188,19.9,0.0,0.0,0.0,-0.0,0.73
189,20.0,0.0,0.0,0.0,-0.0,0.73
190,20.1,0.0,0.0,0.0,-0.0,0.73
191,20.2,0.0,0.0,0.0,0.0,0.73
192,20.3,0.0,0.0,0.0,0.05,0.73
193,20.4,0.0,0.0,0.0,0.09,0.73
194,20.5,0.0,0.0,0.0,0.09,0.73
195,20.6,0.0,0.0,0.0,0.09,0.73
196,20.7,0.0,0.0,0.0,0.09,0.73
197,20.8,0.0,0.0,0.0,0.09,0.73
198,20.9,0.0,0.0,0.0,0.09,0.73
199,21.0,0.0,0.0,0.0,0.09,0.73
200,21.1,0.0,0.0,0.0,0.09,0.73
201,21.2,0.0,0.0,0.0,0.11,0.73
202,21.3,0.0,0.0,0.0,0.37,0.73
203,21.4,0.0,0.0,0.0,0.55,0.73
204,21.5,0.0,0.0,0.0,0.55,0.73
205,21.6,0.0,0.0,0.0,0.55,0.73
206,21.7,0.0,0.0,0.0,0.55,0.73
207,21.8,0.0,0.0,0.0,0.55,0.73
208,21.9,0.0,0.0,0.0,0.55,0.73
209,22.0,0.0,0.0,0.0,0.55,0.73
210,22.1,0.0,0.0,0.0,0.55,0.73
211,22.2,0.0,0.0,0.0,0.54,0.73
212,22.3,0.0,0.0,0.0,0.34,0.73
213,22.4,0.0,0.0,0.0,0.21,0.73
214,22.5,0.0,0.0,0.0,0.21,0.73
215,22.6,0.0,0.0,0.0,0.21,0.73
216,22.7,0.0,0.0,0.0,0.21,0.73
217,22.8,0.0,0.0,0.0,0.21,0.73
