test_number;OpenACC_Equivalence;date;filename
1;no_ACC_1;02/05/2023;
2;no_ACC_1;02/05/2023;2023_05_02_Essai2.csv
3;long_ACC_1;02/05/2023;2023_05_02_Essai3.csv
4;long_ACC_2;02/05/2023;2023_05_02_Essai4.csv
5;short_ACC_1;02/05/2023;2023_05_02_Essai5.csv
6;short_ACC_2;02/05/2023;2023_05_02_Essai6.csv
7;short_ACC_3;02/05/2023;2023_05_02_Essai7.csv
8;short_ACC_4;02/05/2023;2023_05_02_Essai8.csv
9;short_ACC_5;02/05/2023;2023_05_02_Essai9.csv
10;short_ACC_6;02/05/2023;2023_05_02_Essai10.csv
11;short_ACC_7;02/05/2023;2023_05_02_Essai11.csv
12;short_ACC_8;02/05/2023;2023_05_02_Essai12.csv
13;short_ACC_9;02/05/2023;2023_05_02_Essai13.csv
14;long_ACC_3;02/05/2023;2023_05_02_Essai14.csv
15;long_ACC_4;02/05/2023;2023_05_02_Essai15.csv
16;long_ACC_5;02/05/2023;2023_05_02_Essai16.csv
17;long_ACC_7;02/05/2023;2023_05_02_Essai17.csv
18;long_ACC_6;03/05/2023;2023_05_03_Essai18.csv
19;long_ACC_8;03/05/2023;2023_05_03_Essai19.csv
20;no_ACC_2;03/05/2023;2023_05_03_Essai20.csv
21;no_ACC_3;03/05/2023;2023_05_03_Essai21.csv
22;no_ACC_4;03/05/2023;2023_05_03_Essai22.csv
23;no_ACC_5;03/05/2023;2023_05_03_Essai23.csv
24;no_ACC_6;03/05/2023;2023_05_03_Essai24.csv
25;no_ACC_7;03/05/2023;2023_05_03_Essai25.csv
26;no_ACC_8;03/05/2023;2023_05_03_Essai26.csv
27;no_ACC_1;03/05/2023;2023_05_03_Essai27.csv
28;mixed_1;03/05/2023;2023_05_03_Essai28.csv
29;mixed_2;03/05/2023;2023_05_03_Essai29.csv
30;mixed_3;03/05/2023;2023_05_03_Essai30.csv
31;mixed_4;03/05/2023;2023_05_03_Essai31.csv
32;mixed_5;03/05/2023;2023_05_03_Essai32.csv
33;mixed_6;03/05/2023;2023_05_03_Essai33.csv
34;mixed_7;03/05/2023;2023_05_03_Essai34.csv
35;mixed_8;03/05/2023;2023_05_03_Essai35.csv
36;long_ACC_8;03/05/2023;2023_05_03_Essai36.csv
37;short_ACC_2;03/05/2023;2023_05_03_Essai37.csv
38;no_ACC_2;06/06/2023;2023_06_06_Essai1.csv
39;no_ACC_3;06/06/2023;2023_06_06_Essai2.csv
40;no_ACC_4;06/06/2023;2023_06_06_Essai3.csv
