,short,medium,distance,long,no ACC,mixed
0,handling_part11.csv,,263.9635291661143,handling_part38.csv,,
0,handling_part11.csv,,84.77051539326433,handling_part39.csv,,
0,handling_part36.csv,,257.1769344864908,handling_part38.csv,,
0,handling_part36.csv,,68.14228177006476,handling_part39.csv,,
0,handling_part11.csv,,42.62357877428336,,handling_part40.csv,
0,handling_part36.csv,,22.6155548984332,,handling_part40.csv,
0,handling_part11.csv,,49.671307114664295,,,handling_part12.csv
0,handling_part11.csv,,26.46459660992111,,,handling_part37.csv
0,handling_part36.csv,,16.957785313980114,,,handling_part12.csv
0,handling_part36.csv,,15.2458135109769,,,handling_part37.csv
0,,,270.44429228236226,handling_part38.csv,handling_part40.csv,
0,,,54.641006931922945,handling_part39.csv,handling_part40.csv,
0,,,255.18738659074359,handling_part38.csv,,handling_part12.csv
0,,,255.8868464738552,handling_part38.csv,,handling_part37.csv
0,,,80.77735118083191,handling_part39.csv,,handling_part12.csv
0,,,71.57009381385883,handling_part39.csv,,handling_part37.csv
0,,,49.1715301668374,,handling_part40.csv,handling_part12.csv
0,,,21.39673124561211,,handling_part40.csv,handling_part37.csv
